poster_path,title,release_date,overview,popularity,original_title,backdrop_path,vote_count,video,adult,vote_average,original_language,id,genre_ids,year,imdb_id,imdb_title,runtime,director,aspect_ratio
/5E99Ucwf5JJ9iDzARNk0mizQ8bN.jpg,WWE: The True Story of WrestleMania,3/13/2011,"It is the most anticipated yearly event in Sports Entertainment, an annual pop culture touch point. For more than 25 years, WrestleMania has hosted the biggest matches, the biggest stars, and the biggest celebrities. Now for the first time ever, the story of WrestleMania is told from its early beginnings through the week-long spectacular it has become, routinely drawing fans from all 50 states and around the world. This documentary feature includes new and insightful interviews from the superstars and creative forces behind the event.",1.132434,WWE: The True Story of WrestleMania,/yGUzOJqrHbiMl3KMxb7maD8Eat0.jpg,3,FALSE,FALSE,7.7,en,59430,[99],2011,1843301,The True Story of WrestleMania,122,Kevin Dunn,1.33 : 1
/mQqPsqE1ZVfc2rgQ1grnPb1hI1E.jpg,The Music Never Stopped,3/18/2011,"Henry struggles to bond with his estranged son, Gabriel, who suffers from a brain tumor that prevents him from forming new memories. With Gabriel unable to shed the beliefs and interests that caused their physical and emotional distance, Henry must learn to embrace his son's choices and try to connect with him through music.",1.414362,The Music Never Stopped,/6fMQCfmsqdhhlcNx6FdleX6zTXG.jpg,40,FALSE,FALSE,7.2,en,56401,[18],2011,1613062,The Music Never Stopped,105,Jim Kohlberg,2.35 : 1
/78DFS4QcjCBi89NtiEqAROpSkIz.jpg,Roman Polanski: A Film Memoir,9/27/2011,"An interview with film director Roman Polanski conducted during his period of house arrest, discussing his life and work.",1.034842,Roman Polanski: A Film Memoir,/y0wy89A4tl9Ldf7pGMcWkdZ9cMo.jpg,9,FALSE,FALSE,5.9,en,119415,[99],2011,2079571,Roman Polanski: A Film Memoir,90,Laurent Bouzereau,
/8CJJv7DJCxglkXqkvzmgMb5TMwD.jpg,Wings of Life,3/16/2011,"A beautiful love story in danger. Our future depends on an amazing love story between the flowers and fauna consisting of bees, butterflies, birds and bats, which allow these species to reproduce. Delicate and graceful, the flowers are not content to be the ultimate symbol of beauty. On the contrary, their vibrant colors and their exotic flavors are so many wonders that attract pollinators and drunk with desire. All these animals are involved in a complex dance of seduction on which one third of our crops, a dance without which we could survive ... Pollen presents the unsung heroes of the global food chain. Their fantastic worlds are full of stories, drama and beauty. While a fragile and threatened, essential for the balance of the planet, it should now actively protect ...",1.128282,Wings of Life,/sIdz0BLKO1LxDRGBrvqFcJMTwkp.jpg,8,FALSE,FALSE,6.4,en,54985,[99],2011,1222816,Disneynature: Wings of Life,81,Louie Schwartzberg,
/3tWdaS3t7UkH1q48qs9GhSa9dBD.jpg,X-Ray Earth,5/22/2011,"From the churning interior to the oceans and life on land, view the world as it's never been seen before. Cutting-edge tools offer an inside look at Earth as it breathes, heals and flexes its muscles.",1.014832,X-Ray Earth,/rWr02A6nzAdaXBkkWvpXhWeb63Y.jpg,0,FALSE,FALSE,0,en,154394,[99],2011,1845893,X-Ray Earth,120,,
/tq26adXSTMrLFjd4xxRQw2oEx52.jpg,The Tobacco Conspiracy: The Backroom Deals of a Deadly Industry,2/20/2011,"This French-Canadian co-production goes behind the scenes of the huge tobacco industry, whose economic power has been expanding for five decades at the expense of public health. A gripping investigation covering three continents, Nadia Collot's film exposes the vast conspiracy of a criminally negligent industry that conquers new markets through corruption and manipulation. To confront the tobacco cartel, anti-smoking groups are organizing and scoring points, but the fight remains fierce. With ist diverse viewpoints, shocking interviews and riveting images, The Tobacco Conspiracy deftly defines the issues in a complex situation where private interests and the public good collide. Enlightening and engrossing, this documentary is a hard-hitting critique of an industry gone mad.",1.003531,The Tobacco Conspiracy: The Backroom Deals of a Deadly Industry,/86eWzQ2NWdISprra9YetN98Vkrb.jpg,2,FALSE,FALSE,4.8,en,245802,[99],2011,0,,,,
/wywbJHsKL0ttquufMndGJW5vlqe.jpg,Elephant White,5/17/2011,An assassin is hired by a businessman to avenge the murder of his daughter by white slave traders in Thailand.,1.47027,Elephant White,/q9AiAA3y2M0iBvLI2qhN0jvbilZ.jpg,52,FALSE,FALSE,5.1,en,57585,"[28, 53, 14, 80]",2011,1578882,Elephant White,91,Prachya Pinkaew,2.35 : 1
/9eZWNOrxtMv6tzfpR9fOAj2OQvl.jpg,Lustful Illusions,11/8/2011,"Unfulfilled housewife Allison (Darian Caine) secretly yearns for adventure. When a mysterious antique movie camera appears in her living room, it heralds the beginning of a sexual odyssey beyond her wildest dreams - a series of passionate and insatiable encounters - between Allison, her friends and colleagues, and a dangerously seductive woman from the past.",1.006893,Lustful Illusions,,0,FALSE,FALSE,0,en,398875,[14],2011,4796852,Lustful Illusions,80,Brian McNulty,
/x0dgTt0NuIfZmxEI2EbrbIkhFhY.jpg,LEGO Hero Factory: Savage Planet,10/4/2011,"The Hero Factory's mission: to build the bravest, most advanced Heroes in the galaxy! When rookie Rocka responds to a civilian distress call from the planet Quatros.",1.114603,LEGO Hero Factory: Savage Planet,/arQ55TMWCCLZdJ2EAnVTJZOO8Wo.jpg,0,FALSE,FALSE,0,en,264646,"[16, 28, 12]",2011,2234550,LEGO Hero Factory: Savage Planet,45,Howard E. Baker,
/caEBA6XjMF2wAOlwkyI0D0xb8fj.jpg,Game of Your Life,12/1/2011,"When industrious high school gamer Zach Taylor lands a prized scholarship to the prestigious Digital Institute of Game Design (DIGD), his future breaks wide open. The opportunity to study under gaming legend Marcus Bentton and alongside the country???s most creative minds will certainly propel him into a successful career as a video game designer. That is, if he can pass the infamous freshman project that eliminates more than half of the class within the first three months.",1.010317,Game of Your Life,,0,FALSE,FALSE,0,en,252486,"[28, 35, 10751]",2011,2127278,Game of Your Life,120,John Kent Harrison,
